s151_a_neg	neg	s151_a(alice,6000,2015)
s151_a_pos	pos	s151_a(alice,4000,2015)
s151_b_neg	neg	s151_b(alice,bob,2015)
s151_b_pos	pos	s151_b(alice,bob,_,2015)
s151_c_neg	neg	s151_c(alice,bob,_,2015)
s151_c_pos	pos	s151_c(alice,bob,_,2015)
s151_d_1_neg	neg	s151_d_1(0)
s151_d_1_pos	pos	s151_d_1(2000)
s151_d_2_neg	neg	s151_d_2(bob,_,2000,2015)
s151_d_2_pos	pos	s151_d_2(bob,_,0,2015)
s151_d_3_A_neg	neg	s151_d_3_A(alice,_,_,_,2000,1900,2015)
s151_d_3_A_pos	pos	s151_d_3_A(alice,_,_,_,2000,1800,2015)
s151_d_3_B_neg	neg	s151_d_3_B(118,alice,_,2015,_)
s151_d_3_B_pos	pos	s151_d_3_B(22,alice,_,2015,_)
s151_d_5_neg	neg	s151_d_5(2000,2018)
s151_d_5_pos	pos	s151_d_5(0,2018)
s152_a_neg	neg	s152_a(bob,alice,2014,_,_)
s152_a_pos	pos	s152_a(bob,alice,2015,_,_)
s152_b_1_neg	neg	s152_b_1(alice,_,2015)
s152_b_1_pos	pos	s152_b_1(bob,_,2015)
s152_b_2_neg	neg	s152_b_2(alice,_,bob,2015)
s152_b_2_pos	pos	s152_b_2(alice,_,_,2015)
s152_c_1_B_neg	neg	s152_c_1_B(bob,_,alice,_,_,2015)
s152_c_1_B_pos	pos	s152_c_1_B(bob,_,alice,_,_,2016)
s152_c_1_E_neg	neg	s152_c_1_E(bob,_,2019)
s152_c_1_E_pos	pos	s152_c_1_E(bob,_,2019)
s152_c_1_neg	neg	s152_c_1(bob,alice,2019)
s152_c_1_pos	pos	s152_c_1(bob,alice,2019)
s152_c_2_A_neg	neg	s152_c_2_A(bob,alice,_,_,_)
s152_c_2_A_pos	pos	s152_c_2_A(bob,alice,_,_,_)
s152_c_2_B_neg	neg	s152_c_2_B(bob,alice,_,_,_)
s152_c_2_B_pos	pos	s152_c_2_B(bob,alice,_,_,_)
s152_c_2_neg	neg	s152_c_2(alice,bob,_,_)
s152_c_2_pos	pos	s152_c_2(bob,alice,_,_)
s152_c_3_neg	neg	s152_c_3(bob,alice,2019)
s152_c_3_pos	pos	s152_c_3(bob,alice,2019)
s152_d_1_B_neg	neg	s152_d_1_B(alice,2015)
s152_d_1_B_pos	pos	s152_d_1_B(alice,2015)
s152_d_1_D_neg	neg	s152_d_1_D(bob,2015)
s152_d_1_D_pos	pos	s152_d_1_D(bob,2015)
s152_d_2_A_neg	neg	s152_d_2_A(alice,bob,_,_)
s152_d_2_A_pos	pos	s152_d_2_A(alice,bob,_,_)
s152_d_2_B_neg	neg	s152_d_2_B(alice,bob,_,_)
s152_d_2_B_pos	pos	s152_d_2_B(alice,bob,_,_)
s152_d_2_C_neg	neg	s152_d_2_C(alice,bob,_,_)
s152_d_2_C_pos	pos	s152_d_2_C(alice,bob,_,_)
s152_d_2_D_neg	neg	s152_d_2_D(alice,bob,Start_relationship,End_relationship), var(End_relationship), first_day_year(2018,First_day), is_before(Start_relationship,First_day)
