s151_a_neg	neg	OK	0	N=0
s151_a_pos	pos	OK	1	N=1
s151_b_neg	neg	OK	0	N=0
s151_b_pos	pos	OK	1	N=2
s151_c_neg	neg	OK	1	N=0
s151_c_pos	pos	OK	0	N=1
s151_d_1_neg	neg	OK	1	N=0
s151_d_1_pos	pos	OK	0	N=1
s151_d_2_neg	neg	OK	1	N=0
s151_d_2_pos	pos	OK	0	N=1
s151_d_3_A_neg	neg	OK	1	N=0
s151_d_3_A_pos	pos	OK	0	N=1
s151_d_3_B_neg	neg	OK	1	N=0
s151_d_3_B_pos	pos	OK	0	N=1
s151_d_5_neg	neg	OK	1	N=0
s151_d_5_pos	pos	OK	0	N=1
s152_a_neg	neg	OK	1	N=0
s152_a_pos	pos	OK	0	N=1
s152_b_1_neg	neg	OK	1	N=0
s152_b_1_pos	pos	OK	0	N=1
s152_b_2_neg	neg	OK	1	N=0
s152_b_2_pos	pos	OK	1	N=1
s152_c_1_B_neg	neg	OK	0	N=0
s152_c_1_B_pos	pos	OK	1	N=1
s152_c_1_E_neg	neg	OK	0	N=0
s152_c_1_E_pos	pos	OK	0	N=1
s152_c_1_neg	neg	OK	0	N=0
s152_c_1_pos	pos	OK	0	N=2
s152_c_2_A_neg	neg	OK	1	N=0
s152_c_2_A_pos	pos	OK	0	N=1
s152_c_2_B_neg	neg	OK	1	N=0
s152_c_2_B_pos	pos	OK	0	N=1
s152_c_2_neg	neg	OK	1	N=0
s152_c_2_pos	pos	OK	1	N=1
s152_c_3_neg	neg	OK	0	N=0
s152_c_3_pos	pos	OK	1	N=1
s152_d_1_B_neg	neg	OK	1	N=0
s152_d_1_B_pos	pos	OK	0	N=1
s152_d_1_D_neg	neg	OK	3	N=0
s152_d_1_D_pos	pos	OK	5	N=1
s152_d_2_A_neg	neg	OK	2	N=0
s152_d_2_A_pos	pos	OK	1	N=1
s152_d_2_B_neg	neg	OK	1	N=0
s152_d_2_B_pos	pos	OK	2	N=1
s152_d_2_C_neg	neg	OK	2	N=0
s152_d_2_C_pos	pos	OK	14	N=1
s152_d_2_D_neg	neg	OK	19	N=0
s152_d_2_D_pos	pos	OK	3	N=1
s152_d_2_E_neg	neg	OK	4	N=0
s152_d_2_E_pos	pos	OK	2	N=1
s152_d_2_F_neg	neg	OK	2	N=0
s152_d_2_F_pos	pos	OK	3	N=1
s152_d_2_G_neg	neg	OK	1	N=0
s152_d_2_G_pos	pos	OK	2	N=1
s152_d_2_H_neg	neg	OK	1	N=0
s152_d_2_H_pos	pos	OK	2	N=1
s1_a_1_i_neg	neg	OK	1	N=0
s1_a_1_i_pos	pos	OK	1	N=1
s1_a_1_ii_neg	neg	OK	2	N=0
s1_a_1_ii_pos	pos	OK	1	N=1
s1_a_1_iii_neg	neg	OK	1	N=0
s1_a_1_iii_pos	pos	OK	1	N=1
s1_a_1_iv_neg	neg	OK	5	N=0
s1_a_1_iv_pos	pos	OK	2	N=1
s1_a_1_neg	neg	OK	1	N=0
s1_a_1_pos	pos	OK	1	N=1
s1_a_1_v_neg	neg	OK	1	N=0
s1_a_1_v_pos	pos	OK	1	N=1
s1_a_2_i_neg	neg	OK	1	N=0
s1_a_2_i_pos	pos	OK	1	N=1
s1_a_2_ii_neg	neg	OK	1	N=0
